CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6(a),6(b),7,8(a),8(b),8(c),time,uri
Delta Air Lines,4,227,14,55,4,304,231,"28,325","20,194","18,085","29,449,621","$2,243","$267,168","$3,762",2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
ExpressJet,32,562,18,138,7,757,710,"7,708","3,293","1,736","5,175,359","$12,765","$489,205",$500,2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
Frontier Airlines,4,91,1,47,18,161,38,379,0,0,"3,151,585","$1,452","$24,567","$2,011",2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
Hawaiian Airlines,2,0,0,0,0,2,0,37,0,0,"2,599,123",$0,$0,"$12,673",2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
JetBlue Airways,28,0,0,0,0,28,27,488,0,27,"8,244,033","$31,200",$0,"$221,911",2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
SkyWest Airlines,28,500,22,154,5,709,596,"9,537","4,007","1,948","6,858,709","$10,372","$385,672","$1,300",2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
Southwest Airlines,"1,483",417,0,0,"1,216","3,116","1,900","18,278",0,0,"34,393,320","$1,338,902","$378,987",$0,2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
Spirit Airlines,1,122,0,348,"246,266",123,123,"1,224",0,147,"4,509,591",$448,"$83,341",$0,2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
United Air Lines,19,379,26,489,16,929,903,"14,380","5,777","2,337","18,965,779","$15,683","$458,894",$0,2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
Virgin America,30,0,0,0,0,30,30,427,38,5,"1,739,517","$29,852","$3,114","$191,437",2016_1q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2016/html/2016_1q.html
